id,firststatusID,laststatusID,points
783,33711,35082,-6
784,33740,35090,-6
785,33992,35119,-6
786,33996,35128,-6
787,33997,35190,-6
788,33857,35227,-6
789,33993,35277,-6
790,33991,35294,-6
791,34257,35615,-6
792,34271,35626,-6
793,34297,35900,-6
794,35910,36692,-12
